"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;28422806;0.139;32.41;54.41;2.983;10.5;234.0;6.3;0.0;49.97;0.03;0;0;0.00000;-0.98676;
1111 1111 0000 0000;28424816;0.139;31.71;54.39;2.983;10.5;234.0;6.6;0.0;49.98;0.03;0;0;-0.00003;-0.98486;
1111 1111 0000 0000;28429389;0.139;31.80;54.41;2.984;10.5;234.1;6.6;0.0;49.98;0.03;0;0;-0.00003;149.34082;
1111 1111 0000 0000;28430947;0.139;32.31;54.38;2.984;10.7;233.9;6.3;0.0;49.96;0.03;0;0;0.00003;-0.98700;"Walid is great";
1111 1111 0000 0000;28432945;0.139;31.82;54.38;2.984;10.4;233.9;6.6;0.0;49.96;0.03;0;0;0.00000;149.08447;
1111 1111 0000 0000;28434987;0.139;31.72;54.38;2.983;10.4;233.9;6.3;0.0;49.97;0.03;0;0;-0.00006;-0.98132;
1111 1111 0000 0000;28438967;0.139;31.51;54.38;2.984;10.4;234.0;6.6;0.0;49.97;0.03;0;0;0.00003;-0.98145;"Walid is great";
1111 1111 0000 0000;28440968;0.139;32.02;54.41;2.983;10.4;233.7;6.3;0.0;49.98;0.03;0;0;0.00000;-0.99316;
1111 1111 0000 0000;28442967;0.139;32.12;54.39;2.984;10.7;233.9;6.3;0.0;49.97;0.03;0;0;0.00000;149.11194;
1111 1111 0000 0000;28444968;0.139;32.11;54.37;2.984;10.8;233.8;6.6;0.0;49.98;0.03;0;0;0.00003;-0.98584;
1111 1111 0000 0000;28448966;0.139;31.42;54.39;2.984;10.5;233.9;6.0;0.0;49.98;0.03;0;0;0.00000;-0.98737;
1111 1111 0000 0000;28450967;0.139;31.51;54.39;2.983;10.4;233.9;6.3;0.0;49.98;0.03;0;0;0.00003;148.36121;
1111 1111 0000 0000;28452988;0.139;31.51;54.38;2.984;10.4;234.0;6.3;0.0;49.98;0.03;0;0;0.00003;-0.98895;
1111 1111 0000 0000;28454996;0.139;31.52;54.39;2.984;10.5;234.0;6.6;0.0;49.98;0.03;0;0;0.00000;-0.97992;
1111 1111 0000 0000;28459196;0.139;31.51;54.36;2.984;10.7;233.8;6.6;0.0;49.97;0.04;0;0;0.00000;-0.96680;
1111 1111 0000 0000;28461198;0.139;31.50;54.38;2.984;10.4;233.9;6.6;0.0;49.97;0.03;0;0;-0.00003;-0.96906;
1111 1111 0000 0000;28463547;0.139;31.79;54.38;2.983;10.5;233.9;6.6;0.0;49.96;0.03;0;0;0.00003;-0.98651;
1111 1111 0000 0000;28469866;0.139;31.20;54.45;2.983;10.7;234.2;6.3;0.0;49.96;0.03;0;0;-0.00003;-0.99701;
